name,platform,release year,genre,publisher,north america sales,europe sales,japan sales,rest of world sales,global_sales,release_date,critic_score,critic outof,critic count,user score,user count,developer,rating
Mobile Ops: The One Year War,X360,N/A,Simulation,Namco Bandai Games,0.00,0.00,0.06,0.00,0.06,Canceled,,,,,,"Dimps Corporation, Dream Execution",
Senritsu no Stratus,PSP,2011,Role-Playing,Konami Digital Entertainment,0.00,0.00,0.06,0.00,0.06,,,,,,,,
Evangelion: Jo,PSP,2009,Action,Namco Bandai Games,0.00,0.00,0.06,0.00,0.06,,,,,,,,
Shadow of Destiny,PSP,2009,Adventure,Konami Digital Entertainment,0.05,0.00,0.00,0.00,0.06,"Jan 26, 2010",54,100,6,tbd,,Konami,T
Steambot Chronicles: Battle Tournament,PSP,2008,Fighting,Irem Software Engineering,0.05,0.00,0.01,0.00,0.06,"Jun 30, 2009",54,100,14,6.1,7,Irem,E10+
Rock Band Country Track Pack 2,PS3,2011,Misc,MTV Games,0.05,0.00,0.00,0.00,0.06,"Feb  1, 2011",,,,tbd,,Electronic Arts,E10+
Monster Jam: Path of Destruction,PSP,2010,Racing,Activision,0.05,0.00,0.00,0.00,0.06,"Nov  9, 2010",,,,tbd,,Virtuos,E
Pro Yakyuu Spirits 2012,PSV,2012,Action,Konami Digital Entertainment,0.00,0.00,0.06,0.00,0.06,,,,,,,,
Jimmie Johnson's Anything With an Engine,Wii,2011,Racing,Konami Digital Entertainment,0.05,0.00,0.00,0.00,0.06,"Nov 15, 2011",,,,tbd,,Isopod Labs,E10+
SD Gundam G Generation Wars,Wii,2009,Strategy,Namco Bandai Games,0.00,0.00,0.06,0.00,0.06,,,,,,,,
Girls RPG: Cinderellife,3DS,2012,Role-Playing,Level 5,0.00,0.00,0.06,0.00,0.06,,,,,,,,
Kamen Rider: Travelers Senki,3DS,2013,Action,Seventh Chord,0.00,0.00,0.06,0.00,0.06,,,,,,,,
Blade Dancer: Lineage of Light,PSP,2006,Role-Playing,Atari,0.05,0.00,0.00,0.00,0.06,"Jul 18, 2006",60,100,33,6.7,15,Hit Maker,E10+
Hakuouki: Yuugi Roku Ni - Matsuri Hayashi to Taishitachi,PSP,2012,Action,Idea Factory,0.00,0.00,0.06,0.00,0.06,,,,,,,,
Toaru Kagaku no Chou Denjihou,PSP,2011,Adventure,Kadokawa Shoten,0.00,0.00,0.06,0.00,0.06,,,,,,,,
Generation of Chaos,PSP,2005,Role-Playing,Midas Interactive Entertainment,0.05,0.00,0.00,0.00,0.06,"Feb 28, 2006",60,100,29,7.8,16,Idea Factory,T
The Smurfs 2,PS3,2013,Action,Ubisoft,0.01,0.03,0.00,0.01,0.06,"Jul 23, 2013",,,,1.3,4,WayForward,E
Cartoon Network: Punch Time Explosion XL,X360,2011,Fighting,Crave Entertainment,0.05,0.00,0.00,0.00,0.06,,,,,,,,
Puzzler Collection,Wii,2008,Puzzle,Ubisoft,0.05,0.00,0.00,0.00,0.06,"Jul 29, 2008",,,,tbd,,Destination Software,E
Warriors Orochi 2,X360,2008,Action,Tecmo Koei,0.04,0.00,0.01,0.00,0.06,"Sep 23, 2008",44,100,28,7.9,12,Omega Force,T
Transformers: Prime,WiiU,2012,Action,Activision,0.04,0.01,0.00,0.00,0.06,,,,,,,,
Yuugen Gaisha Brave Company,3DS,2011,Strategy,Namco Bandai Games,0.00,0.00,0.06,0.00,0.06,,,,,,,,
Ken to Mahou to Gakuen Mono. 3D,3DS,2011,Role-Playing,Acquire,0.00,0.00,0.06,0.00,0.06,,,,,,,,
Dream C Club Portable,PSP,2010,Simulation,D3Publisher,0.00,0.00,0.06,0.00,0.06,,,,,,,,
Gun Showdown,PSP,2006,Action,Activision,0.05,0.00,0.00,0.00,0.06,"Oct 10, 2006",73,100,41,7.3,7,"Neversoft Entertainment, Rebellion",M
Petz: Hamsterz Bunch,PSP,2009,Simulation,Ubisoft,0.05,0.00,0.00,0.00,0.06,"Oct 27, 2009",,,,tbd,,Ubisoft,E
Pro Yakyuu Famista 2011,3DS,2011,Sports,Namco Bandai Games,0.00,0.00,0.06,0.00,0.06,,,,,,,,
Gintama no Sugoroku,PSP,2013,Action,Namco Bandai Games,0.00,0.00,0.06,0.00,0.06,,,,,,,,
Tokyo Mono Harashi: Karasu no Mori Gakuen Kitan,PSP,2010,Role-Playing,Atlus,0.00,0.00,0.06,0.00,0.06,,,,,,,,
Mercury Meltdown,PSP,2006,Action,Atari,0.05,0.00,0.00,0.00,0.06,"Oct  3, 2006",78,100,36,9.0,6,Ignition Entertainment,E
Jumper: Griffin's Story,X360,2008,Action,Eidos Interactive,0.05,0.00,0.00,0.00,0.05,"Feb 12, 2008",29,100,16,3.3,27,Red Tribe,T
Adventure Time: Explore the Dungeon Because I Don't Know!,3DS,2013,Action,D3Publisher,0.04,0.01,0.00,0.00,0.05,,,,,,,,
Samurai Dou Portable,PSP,2008,Action,Spike,0.00,0.00,0.05,0.00,0.05,,,,,,,,
Pretty Rhythm Rainbow Live: Kira Kira My * Design,3DS,2013,Misc,Takara Tomy,0.00,0.00,0.05,0.00,0.05,,,,,,,,
MotoGP 10/11,X360,2011,Racing,Capcom,0.00,0.05,0.00,0.01,0.05,"Mar 15, 2011",72,100,31,6.7,27,Monumental Games,E
Storybook Workshop,Wii,2009,Misc,Konami Digital Entertainment,0.05,0.00,0.00,0.00,0.05,"Dec  1, 2009",,,,tbd,,Konami,
Angry Birds: Star Wars,PS4,2013,Strategy,Activision,0.04,0.01,0.00,0.00,0.05,"Nov 15, 2013",47,100,5,1.6,54,Rovio Mobile,E
Vertigo,Wii,2009,Strategy,Playlogic Game Factory,0.05,0.00,0.00,0.00,0.05,"Jun 16, 2009",66,100,4,tbd,,Icon Games,E
Jimmie Johnson's Anything With an Engine,PS3,2011,Racing,Konami Digital Entertainment,0.05,0.00,0.00,0.00,0.05,"Nov  1, 2011",67,100,5,6.8,4,Isopod Labs,E10+
Shin Sangoku Musou 5 Empires,PSP,2010,Action,Tecmo Koei,0.00,0.00,0.05,0.00,0.05,,,,,,,,
GachiTora! Abarenbou Kyoushi in High School,PSP,2011,Action,Spike,0.00,0.00,0.05,0.00,0.05,,,,,,,,
Kamen Rider: Climax Heroes Fourze,PSP,2011,Fighting,Namco Bandai Games,0.00,0.00,0.05,0.00,0.05,,,,,,,,
Michael Jackson: The Experience,PSV,2011,Misc,Ubisoft,0.03,0.02,0.00,0.00,0.05,"Feb 15, 2012",57,100,27,4.7,15,Ubisoft,E10+
Chevrolet Camaro: Wild Ride,Wii,2010,Racing,Storm City Games,0.05,0.00,0.00,0.00,0.05,"Oct 30, 2010",,,,tbd,,CokeM Interactive,E
Kid Fit Island Resort,Wii,2010,Sports,Avanquest,0.05,0.00,0.00,0.00,0.05,"Oct 26, 2010",,,,tbd,,Red Wagon,E
Defendin' De Penguin,Wii,2008,Strategy,Zushi Games,0.05,0.00,0.00,0.00,0.05,,,,,,,,
